time,vibration,temperature,pressure,torque,current,rpm,anomaly_score,rul_prediction,failure_probability,health_index
0,0.26780101705980625,40.38657246028458,98.53903230099789,49.222044122502886,9.770517539431541,1499.2952259723977,0.16546840093561443,8266.995,0.0,0.8929735509635567
1,0.3598933627031175,40.45506941963949,98.49290805402926,49.736140816394865,9.703215800919981,1497.9845459344003,0.16567328552177094,8267.843,0.0,0.8923501410396579
2,0.30450776435005233,39.466202411442396,100.4928425708178,48.85853352214159,9.916236580614939,1499.7964739835609,0.16560894097996748,8263.777,0.0,0.8923540157156724
3,0.31060730968778777,39.57534099661093,97.63616550590253,50.64458762081053,9.74368250802205,1503.6588467105712,0.16556721972134453,8274.817,0.0,0.8930473206317073
4,0.30142888054419575,40.829006617026806,100.97659271779008,50.15182831697334,10.249024102800508,1506.212529635753,0.16605190123014624,8270.619,0.0,0.8912591378135868
5,0.3151729193305248,40.57374534615113,101.41141760938189,49.035101817389155,9.59709028427075,1499.0387197841962,0.16577761118992812,8272.036,0.0,0.8922226589497952
6,0.2984969955987259,38.93012131515366,97.94396013705479,49.3397393377154,9.721171153727301,1502.1095790900406,0.16623404659720545,8276.005,0.0,0.8909388535794429
7,0.33310229727699026,40.27526653514991,100.65685486082847,48.770793447195764,10.19521706133737,1500.2002872656317,0.1660911935061299,8278.497,0.0,0.8915292835864328
8,0.29732222112921164,39.478697297886754,100.01352723221957,49.862582829869076,10.386422919122277,1493.2392465922635,0.16683830484016876,8286.369,0.0,0.8894973396335601
9,0.3071607071874588,40.734470663426045,100.27352863508717,49.37596794501985,10.209080554752592,1497.0607310629039,0.16626213516911198,8293.367,0.0,0.8917244752884461
10,0.3138126320641149,39.688381073983884,101.09508182590888,49.89085629430978,9.817250217303947,1496.3011034532444,0.1664507093526184,8305.606,0.0,0.8917294391142614
11,0.3007549490365989,39.818726270485435,99.1947498804907,51.792627132193246,9.66205632855095,1498.6431871342354,0.16634770667525955,8295.997,0.0,0.8915790336412857
12,0.2962138733921592,40.36015416667299,101.00437226693035,50.202063403224045,10.000337014337111,1499.7630553204406,0.16614248198766404,8279.191,0.0,0.8913975755368542
13,0.2860848779382176,39.831984010909,101.82424142940226,50.145597866294345,9.964777624271765,1500.7332193588913,0.16610382796126824,8275.899,0.0,0.891356977885167
14,0.32770467708138334,39.48952360822943,100.88403943042763,49.86538159033721,10.038149434156558,1502.086524965458,0.1660442874579805,8273.486,0.0,0.8914287065786901
15,0.3243074954595494,40.52842491726353,98.50072737498668,49.036316984725836,9.560314166734376,1495.56218321318,0.16547303092148308,8258.11,0.0,0.8925097611109243
